IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;ATTRIB_RESS_NUM;DATE_DECLARATION_OPERATEUR
TDF;TDF;34 240 439 903 172;Nanterre;106 AVENUE MARX DORMOY 92120 MONTROUGE;1;03/07/1987
Bouygues Telecom;BOUY;39 748 093 003 464;Nanterre;LE TECHNOPÔLE 13-15 AVENUE DU MARÉCHAL JUIN 92360 MEUDON CEDEX;1;08/12/1994
Société réunionnaise du radiotéléphone;SRR;39 355 100 700 031;Saint Denis de la Réunion;21 RUE PIERRE AUBERT CS 62001 97743 SAINT-DENIS CEDEX 9;1;23/02/1995
Colt technology services;COLT;40 262 883 800 136;Nanterre;23 RUE PIERRE VALETTE 92247 MALAKOFF CEDEX;1;12/12/1996
Verizon France;MCI;39 851 716 900 023;Nanterre;TOUR CB21 16 PLACE DE L'IRIS CS 90048 92040 PARIS LA DEFENSE CEDEX;1;12/12/1996
Orange;FRTE;38 012 986 648 625;Paris;111 QUAI DU PRESIDENT ROOSEVELT CS 70222 92449 ISSY-LES-MOULINEAUX CEDEX;1;12/03/1998
Outremer Telecom;OUTR;38 367 876 000 018;FORT-DE-FRANCE;Z.I. JAMBETTE BP 280 97285 LAMENTIN CEDEX 2;1;29/04/1998
Zayo infrastructure France;VIAT;41 356 713 200 019;Paris;19/21 RUE POISSONNIERE 75002 PARIS;1;05/06/1998
Keyyo;PHON;39 008 115 600 213;Nanterre;32 BD VICTOR HUGO 92110 CLICHY CEDEX;1;17/06/1998
SFR fibre SAS;UPCF;40 046 195 000 034;Meaux;10 RUE ALBERT EINSTEIN 77437 CHAMPS-SUR-MARNE CEDEX 2;1;17/06/1998
Wavecrest communications France;WAVE;40 230 351 500 090;Nanterre;64 RUE ANATOLE FRANCE 92300 LEVALLOIS PERRET;1;28/07/1998
Vodafone Enterprise France SAS;CAWI;38 030 881 700 101;Nanterre;TOUR EUROPLAZA 20 AVENUE ANDRE PROTHIN 92400 COURBEVOIE LA DEFENSE CEDEX;1;25/08/1998
Completel;COMP;41 829 969 900 417;NANTERRE;ALTICE CAMPUS 16 RUE GENERAL ALAIN DE BOISSIEU 75015 PARIS;1;17/11/1998
Free réseau;ONET;41 939 293 100 046;Paris;16 RUE DE LA VILLE L'EVÈQUE 75008 PARIS;1;17/11/1998
Lumen technologies France;GPEN;42 098 915 400 083;Nanterre;LE CAPITOLE - BAT. B 55 RUE DES CHAMPS PIERREUX 92000 NANTERRE;1;10/03/1999
Nomotech;INCL;39 381 963 600 217;Paris;ZA DE L ESTUAIRE 53 AVENUE DE LA PIERRE VALLEE 50220 POILLEY;1;22/03/1999
GTT Communications France;EASY;40 233 513 700 079;Nanterre;100-101 TERRASSE BOIELDIEU 92800 PUTEAUX;1;06/08/1999
BELGACOM INTERNATIONAL CARRIER SERVICES FRANCE SAS;SWIS;42 258 828 500 011;Paris;3 RUE DU COLONEL MOLL 75017 PARIS;0;15/10/1999
Free;FREE;42 193 886 100 034;Paris;8, RUE DE LA VILLE L'EVÊQUE 75008 PARIS;1;09/11/1999
EXA Infrastructure France SAS;21CC;42 861 657 700 030;Bobigny;34 RUE DES GARDINOUX 93300 AUBERVILLIERS;0;04/05/2000
SAS SPM Telecom;SPMT;42 358 364 000 028;;PLACE DU GENERAL DE GAULLE BP 4253 97500 ST PIERRE ET MIQUELON;1;21/06/2000
e*Message Wireless Information Services France;EMES;34 339 335 100 063;Nanterre;22 QUAI GALLIENI 92150 SURESNES;1;26/09/2000
United telecommunication services Caraïbe;STMB;42 903 922 500 025;Basse-Terre;24 RUE DE LA REPUBLIQUE 97150 MARIGOT ST MARTIN;1;06/06/2001
Hub One;HUBT;43 794 766 600 131;BOBIGNY;MERCURE CONTINENTAL SQUARE 1 2 PLACE DE LONDRES 93290 TREMBLAY-EN-FRANCE;1;03/07/2001
Eutelsat;EUTS;42 255 117 600 072;Nanterre;32 BOULEVARD GALLIENI 92130 ISSY LES MOULINEAUX;0;16/07/2001
Digicel Antilles Françaises Guyane;BUYC;43 141 628 800 022;Fort-de-France;OASIS - QUARTIER BOIS ROUGE 97224 DUCOS;1;19/07/2001
Globalstar Europe;GLOB;44 242 749 800 013;Paris;CHEZ ABC LIV 37 RUE DES MATHURINS 75008 PARIS;1;14/11/2002
Dauphin telecom;DAUF;41 996 401 000 062;Basse Terre;MARIGOT 12 RUE DE LA REPUBLIQUE 97150 SAINT-MARTIN;1;12/12/2002
Canal+ Telecom;MIAS;35 155 579 200 214;Pointe à Pitre;ZAC DE MOUDONG CENTRE 97122 BAIE-MAHAULT;1;21/01/2003
EXA Infrastructure Netherlands II BV;KPNE;;27252281 Pays-Bas;2516 CK 'S-GRAVENNHAGE MAANPLEIN 55 POSTBUS 30000 2500 GA DEN HAAG PAYS-BAS;1;06/03/2003
SANEF;SANF;63 205 001 900 199;Reims;ECHANGEUR REIMS TINQUEUX CS80001 51431 TINQUEUX CEDEX 2;0;01/04/2003
Société nationale des chemins de fer français - SNCF;R148;55 204 944 776 279;Paris;2 PLACE AUX ETOILES 93210 SAINT-DENIS;1;25/06/2003
Transaction network services;TRNS;42 128 594 100 033;Nanterre;1 RUE SAINT GEORGES 75009 PARIS;0;29/09/2003
Axione;AXIO;44 958 654 400 933;Nanterre;152 AVENUE PIERRE BROSSOLETTE 92240 MALAKOFF;1;20/10/2003
Weaccess group;INFS;40 215 661 600 037;Rouen;TECHNOPOLE DU MADRILLET 59 RUE CAROLINE HERSCHEL 76800 SAINT-ETIENNE-DU-ROUVRAY;1;20/10/2003
Intermediasud;ITMS;41 427 321 900 025;Castres;9 AVENUE DE LA MONTAGNE NOIRE 81100 CASTRES;0;30/10/2003
SD NUM SAS;R144;44 931 646 200 042;Paris;IMPASSE PASSOIR 17 RUE DE NEUILLY 92110 CLICHY;1;17/02/2004
Legos-Local exchange Global opération services;LEGO;44 079 998 900 031;Paris;40 RUE D ORADOUR-SUR-GLANE 75015 PARIS;1;19/02/2004
La poste;LPST;35 600 000 000 048;Paris;44 BOULEVARD DE VAUGIRARD 75757 PARIS CEDEX 15;1;05/07/2004
118000;TLGT;45 346 537 900 056;Paris;137 BOULEVARD DE SEBASTOPOL 75002 PARIS;1;15/07/2004
Adista;RMII;32 315 971 500 305;Nancy;ZAC SAINT-JACQUES 9 RUE BLAISE PASCAL 54320 MAXEVILLE;1;19/07/2004
Foliateam operateur;INIT;44 001 467 800 047;PARIS;5-9 RUE MOUSSET ROBERT 75012 PARIS;1;16/09/2004
Mybestpro;WENG;47 844 447 400 066;Paris;75 RUE D'AMSTERDAM 75008 PARIS;1;04/10/2004
118 218 Le numéro;LNUM;47 834 308 000 089;Paris;CENTRE D AFFAIRES 25 RUE DU MAL FOCH 78000 VERSAILLES;1;09/11/2004
Afone participations;AFON;41 106 873 700 153;Angers;11 PLACE FRANCOIS MITTERRAND CS 11024 49055 ANGERS CEDEX 02;1;17/11/2004
BD MULTI-MEDIA;BDMA;33 451 756 200 016;Paris;16 CITE JOLY 75011 PARIS;1;17/11/2004
MINT;BUDG;42 271 687 800 091;Montpellier;52 RUE D'ODIN CS 40900 34965 MONTPELLIER;1;29/11/2004
Alsatis;R012;47 985 823 500 035;Toulouse;ZAC PARC BASSO CAMBO 11 RUE MICHEL LABROUSSE 31100 TOULOUSE;1;23/12/2004
Idelio;3620;44 934 608 900 021;Nantes;25 AVENUE DE LA VERTONNE 44120 VERTOU;1;29/12/2004
Prodige's;PROD;32 626 086 600 024;Paris;51 RUE DE PRONY 75017 PARIS;1;31/12/2004
ICC CRM 80;ICAL;40 970 934 200 045;Amiens;42 RUE RIOLAN 80000 AMIENS;1;06/01/2005
XPFIBRE.CO;AXAF;47 928 149 500 040;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE 92310 SEVRES;0;07/01/2005
AT&T global network services France SAS;ATTG;42 239 927 900 161;NANTERRE;TOUR ALTO 1 PLACE ZAHA HADID 92400 COURBEVOIE;1;12/01/2005
Pictures on line;PIOL;35 335 931 800 014;Paris;93 RUE DE VAUGIRARD 75006 PARIS;1;13/01/2005
Nordnet;NORN;40 297 448 900 070;Lille;245 BOULEVARD DE TOURNAI 59650 VILLENEUVE-D ASCQ;1;07/02/2005
Sonema;EXPE;44 939 717 300 047;Fréjus;PÔLE D'EXCELLENCE JEAN LOUIS 133 VIA NOVA 83600 FREJUS;0;18/02/2005
Vanco SAS;VANC;38 849 648 100 051;Nanterre;TOUR ARIANE 5 PLACE DE LA PYRAMIDE 92088 PARIS LA DEFENSE CEDEX;0;21/02/2005
Météo France;MTOF;18 006 003 001 911;Paris;1 QUAI BRANLY 75340 PARIS CEDEX 07;1;02/03/2005
Masergy communications UK Limited;MASE;;4170863;SALISBURY HOUSE 29 FINSBURY CIRCUS EC2M 5QQ LONDON ROYAUME-UNI;0;09/03/2005
